id,Understandable,Natural,Maintains Context,Engaging,Uses Knowledge,Overall,gptscore_gpt2-large_src_hypo,bartscore_facebook/bart-large-cnn_src_hypo,bertscore_microsoft/deberta-large-mnli_layer_default_ref_hypo_P,bertscore_microsoft/deberta-large-mnli_layer_default_ref_hypo_R,bertscore_microsoft/deberta-large-mnli_layer_default_ref_hypo_F,rouge-1-p_ref_hypo,rouge-1-r_ref_hypo,rouge-1-f_ref_hypo,rouge-2-p_ref_hypo,rouge-2-r_ref_hypo,rouge-2-f_ref_hypo,rouge-l-p_ref_hypo,rouge-l-r_ref_hypo,rouge-l-f_ref_hypo,meteor_ref_hypo,bleu_ref_hypo,moverscore_default_ref_hypo,unieval_fact_consistency_src_hypo,unieval_summarization_coherence_src_hypo,unieval_summarization_consistency_src_hypo,unieval_summarization_fluency_src_hypo,unieval_summarization_overall_src_hypo
41_Nucleus Decoding (p = 0.7),0.3333333333333333,1.6666666666666667,1.6666666666666667,1.0,0.6666666666666666,1.3333333333333333,-3.180393695831299,-3.601461410522461,[0.5019350051879883],[0.5686554908752441],[0.5332162380218506],[0.3],[0.2727272727272727],[0.2857142807256236],[0.0],[0.0],[0.0],[0.3],[0.2727272727272727],[0.2857142807256236],[0.16528925619834708],[1.2627076138080564e-231],[0.06069244050947353],0.2709256382705967,0.2374773536258436,0.38778602864629763,0.08587200983361272,0.237045130701918
41_New Human Generated,1.0,3.0,3.0,3.0,1.0,5.0,-3.8561079502105713,-4.710623264312744,[0.5031135678291321],[0.6893951892852783],[0.5817049145698547],[0.2631578947368421],[0.45454545454545453],[0.33333332868888893],[0.10526315789473684],[0.2],[0.13793102996432832],[0.2631578947368421],[0.45454545454545453],[0.33333332868888893],[0.4920107577914886],[8.510469113101058e-232],[0.1355054469595418],0.3200116984111029,0.3872068083357241,0.5077434572916579,0.6243940556336599,0.506448107087014
42_Argmax Decoding,0.6666666666666666,2.0,2.6666666666666665,2.0,0.6666666666666666,2.6666666666666665,-3.2463653087615967,-4.698522567749023,[0.590244710445404],[0.5548011064529419],[0.5719743967056274],[0.5238095238095238],[0.4074074074074074],[0.45833332841145835],[0.13636363636363635],[0.1111111111111111],[0.12244897464389858],[0.3333333333333333],[0.25925925925925924],[0.2916666617447917],[0.3535711309275773],[1.0948551819675659e-231],[0.0945604196575065],0.100050306623932,0.16805553156797273,0.18715127921064686,0.9112852977900419,0.42216403618955384
42_Nucleus Decoding (p = 0.3),1.0,2.0,2.0,2.333333333333333,0.6666666666666666,3.0,-3.188263177871704,-4.324121952056885,[0.7818311452865601],[0.6184520721435547],[0.690610408782959],[0.5714285714285714],[0.2962962962962963],[0.3902438979417014],[0.38461538461538464],[0.18518518518518517],[0.24999999561250005],[0.5714285714285714],[0.2962962962962963],[0.3902438979417014],[0.35200000000000004],[9.418382295637229e-232],[0.2112450001857199],0.1388434116715078,0.1803950772182346,0.18479617189196007,0.9059080619125093,0.42369977034090134
42_Nucleus Decoding (p = 0.5),0.0,1.0,1.0,1.0,0.0,1.0,-3.673672914505005,-5.2823686599731445,[0.5294417142868042],[0.46930891275405884],[0.4975650906562805],[0.4666666666666667],[0.25925925925925924],[0.3333333287414967],[0.058823529411764705],[0.037037037037037035],[0.04545454071281041],[0.4],[0.2222222222222222],[0.285714281122449],[0.24669233151909375],[1.0518351895246305e-231],[0.006178495011230911],0.1085485657705617,0.10208632433087979,0.10940778204855975,0.8142714343516503,0.3419218469103633
42_Nucleus Decoding (p = 0.7),1.0,2.0,1.6666666666666667,2.0,1.0,3.333333333333333,-3.028607130050659,-4.455625057220459,[0.9559333324432373],[0.8412556648254395],[0.8949357271194458],[0.9523809523809523],[0.7407407407407407],[0.8333333284114584],[0.9047619047619048],[0.7037037037037037],[0.7916666617447918],[0.9523809523809523],[0.7407407407407407],[0.8333333284114584],[0.7066696113074207],[1.0003688322288243e-231],[0.6507454780416781],0.232249831109871,0.3093484334328277,0.40425247452132806,0.7140182439289973,0.47587305062771773
42_New Human Generated,1.0,3.0,3.0,3.0,1.0,5.0,-3.183350086212158,-3.8127808570861816,[0.7344678044319153],[0.7093814611434937],[0.7217066884040833],[0.6956521739130435],[0.5925925925925926],[0.639999995032],[0.5],[0.48148148148148145],[0.4905660327376291],[0.6956521739130435],[0.5925925925925926],[0.639999995032],[0.6192528735632185],[1.0332112772921225e-231],[0.47220679836481616],0.4507135429285511,0.668126869038969,0.5284122995672464,0.41598430931788755,0.5375078259747009
43_Argmax Decoding,1.0,2.6666666666666665,2.333333333333333,1.3333333333333333,1.0,3.0,-1.1973052024841309,-3.722612619400024,[0.5679097175598145],[0.4619055688381195],[0.5094518661499023],[0.2222222222222222],[0.10526315789473684],[0.1428571384948981],[0.0],[0.0],[0.0],[0.2222222222222222],[0.10526315789473684],[0.1428571384948981],[0.06944444444444445],[1.384292958842266e-231],[-0.011140805474096016],0.7369897953937661,0.3330995983449799,0.6836192605076218,0.9188049220190414,0.6451745936238811
43_Nucleus Decoding (p = 0.3),0.3333333333333333,2.0,1.0,1.6666666666666667,0.6666666666666666,2.0,-3.255238771438598,-4.204209804534912,[0.5154915452003479],[0.4797229766845703],[0.4969645142555237],[0.35714285714285715],[0.2631578947368421],[0.30303029814508725],[0.0625],[0.05],[0.05555555061728439],[0.35714285714285715],[0.2631578947368421],[0.30303029814508725],[0.23541205752212388],[1.1484186507842885e-231],[-0.03949184234948744],0.3894299529321408,0.3651268091402875,0.24680970444526676,0.8607592036864109,0.49089857242398843
43_Nucleus Decoding (p = 0.5),0.0,1.3333333333333333,1.0,1.0,0.6666666666666666,1.0,-2.4333808422088623,-3.72860598564148,[0.5846739411354065],[0.5276482701301575],[0.5546993613243103],[0.3333333333333333],[0.21052631578947367],[0.2580645113839751],[0.08333333333333333],[0.05],[0.062499995312500355],[0.3333333333333333],[0.21052631578947367],[0.2580645113839751],[0.21700988087542714],[1.2395288183339461e-231],[0.06454904595351574],0.2951043940664653,0.20034952920996354,0.3183434369143451,0.8545166885733858,0.45773655156589815
43_Nucleus Decoding (p = 0.7),0.0,1.6666666666666667,1.3333333333333333,1.3333333333333333,0.6666666666666666,1.6666666666666667,-3.874768018722534,-4.662355899810791,[0.5787811279296875],[0.5244863033294678],[0.5502976775169373],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.06818181818181818],[1.1409851298103347e-231],[-0.06911736825380044],0.8221838710059757,0.5086020620582071,0.5856166919960756,0.8979197372733727,0.6640461637758851
